iter	Passed	Remaining
0	535	267442
1	988	246128
2	1347	223261
3	1724	213845
4	2095	207458
5	2465	203002
6	2851	200793
7	3164	194610
8	3611	197035
9	3960	194068
10	4308	191537
11	4635	188499
12	4984	186741
13	5317	184604
14	5655	182867
15	6002	181588
16	6348	180376
17	6669	178588
18	7026	177883
19	7373	176970
20	7710	175867
21	8053	174975
22	8384	173880
23	8703	172615
24	9053	172018
25	9420	171734
26	9767	171111
27	10122	170630
28	10445	169647
29	10802	169240
30	11143	168582
31	11500	168198
32	11823	167316
33	12158	166638
34	12506	166153
35	12858	165735
36	13213	165346
37	13562	164886
38	13886	164146
39	14194	163237
40	14500	162333
41	14812	161522
42	15129	160798
43	15441	160032
44	15755	159308
45	16069	158602
46	16398	158054
47	16709	157346
48	17017	156633
49	17315	155840
50	17629	155206
51	17944	154602
52	18261	154013
53	18567	153357
54	18879	152753
55	19225	152428
56	19541	151876
57	19858	151334
58	20165	150729
59	20490	150265
60	20810	149768
61	21124	149233
62	21440	148723
63	21745	148140
64	22053	147585
65	22374	147130
66	22680	146577
67	22983	146014
68	23288	145469
69	23609	145028
70	23926	144567
71	24254	144179
72	24568	143709
73	24896	143325
74	25244	143054
75	25601	142828
76	25994	142802
77	26400	142835
78	26780	142714
79	27188	142737
80	27570	142615
81	27947	142464
82	28340	142387
83	28729	142277
84	29124	142193
85	29521	142114
86	29918	142026
87	30284	141785
88	30637	141485
89	31004	141240
90	31385	141061
91	31735	140738
92	32089	140434
93	32454	140173
94	32828	139951
95	33185	139653
96	33545	139370
97	33920	139142
98	34294	138909
99	34680	138721
100	35025	138367
101	35399	138128
102	35777	137898
103	36141	137617
104	36522	137392
105	36885	137102
106	37244	136795
107	37592	136447
108	37961	136175
109	38316	135848
110	38686	135577
111	39044	135262
112	39407	134963
113	39808	134791
114	40182	134522
115	40578	134327
116	40972	134124
117	41363	133906
118	41756	133691
119	42178	133565
120	42586	133392
121	42999	133227
122	43412	133060
123	43845	132949
124	44254	132762
125	44674	132605
126	45075	132388
127	45488	132200
128	45881	131954
129	46310	131806
130	46689	131514
131	47092	131288
132	47431	130882
133	47781	130508
134	48134	130141
135	48498	129805
136	48852	129441
137	49203	129071
138	49568	128735
139	49914	128351
140	50264	127978
141	50618	127614
142	50987	127291
143	51343	126932
144	51695	126563
145	52048	126199
146	52444	125937
147	52865	125734
148	53351	125680
149	53792	125515
150	54220	125317
151	54652	125126
152	55078	124916
153	55501	124698
154	55966	124571
155	56455	124490
156	56954	124430
157	57413	124275
158	57884	124142
159	58344	123982
160	58871	123959
161	59418	123972
162	59877	123795
163	60335	123613
164	60802	123447
165	61259	123258
166	61732	123095
167	62231	122981
168	62733	122868
169	63218	122717
170	63674	122507
171	64141	122316
172	64599	122104
173	65091	121952
174	65572	121778
175	66074	121638
176	66477	121312
177	66885	120994
178	67299	120687
179	67731	120411
180	68166	120138
181	68599	119860
182	69081	119665
183	69522	119397
184	69938	119084
185	70372	118801
186	70822	118543
187	71304	118335
188	71932	118365
189	72520	118322
190	73033	118153
191	73492	117893
192	73948	117627
193	74428	117397
194	74919	117181
195	75448	117021
196	75950	116816
197	76441	116593
198	76891	116303
199	77367	116051
200	77835	115784
201	78421	115690
202	79033	115630
203	79636	115550
204	80093	115256
205	80510	114902
206	80935	114561
207	81364	114223
208	81805	113901
209	82238	113567
210	82688	113256
211	83125	112925
212	83526	112545
213	83904	112134
214	84277	111717
215	84667	111322
216	85040	110905
217	85411	110486
218	85801	110092
219	86140	109633
220	86493	109193
221	86836	108740
222	87183	108295
223	87547	107870
224	87892	107423
225	88257	107002
226	88625	106585
227	88991	106165
228	89347	105734
229	89717	105320
230	90092	104912
231	90462	104499
232	90828	104082
233	91203	103676
234	91599	103293
235	91967	102878
236	92346	102477
237	92728	102079
238	93095	101665
239	93472	101261
240	93857	100867
241	94247	100479
242	94590	100039
243	94943	99613
244	95280	99169
245	95626	98736
246	95973	98305
247	96307	97861
248	96656	97433
249	97004	97004
250	97377	96601
251	97744	96192
252	98194	95865
253	98566	95462
254	99028	95144
255	99460	94798
256	99828	94390
257	100183	93970
258	100524	93538
259	100874	93114
260	101227	92694
261	101585	92280
262	101921	91845
263	102282	91434
264	102632	91013
265	102968	90580
266	103331	90172
267	103682	89754
268	104057	89357
269	104427	88956
270	104793	88552
271	105168	88155
272	105544	87760
273	105917	87362
274	106286	86961
275	106663	86567
276	107041	86174
277	107425	85786
278	107798	85388
279	108168	84989
280	108541	84592
281	108912	84194
282	109281	83795
283	109667	83408
284	110038	83011
285	110413	82616
286	110770	82209
287	111126	81801
288	111473	81387
289	111847	80993
290	112204	80586
291	112542	80167
292	112891	79756
293	113236	79342
294	113593	78938
295	113984	78557
296	114375	78176
297	114796	77815
298	115205	77445
299	115633	77089
300	116045	76721
301	116463	76357
302	116878	75990
303	117308	75633
304	117800	75315
305	118213	74945
306	118624	74575
307	119034	74203
308	119453	73836
309	119854	73458
310	120278	73095
311	120709	72734
312	121126	72366
313	121549	72000
314	121985	71642
315	122411	71277
316	122828	70907
317	123259	70544
318	123708	70192
319	124131	69824
320	124560	69458
321	125002	69100
322	125432	68735
323	125885	68382
324	126338	68028
325	126753	67653
326	127190	67290
327	127603	66914
328	128002	66530
329	128397	66144
330	128789	65756
331	129210	65383
332	129628	65009
333	130023	64622
334	130422	64238
335	130828	63856
336	131225	63471
337	131614	63081
338	132026	62702
339	132414	62312
340	132817	61929
341	133217	61544
342	133618	61160
343	134002	60768
344	134427	60394
345	134822	60007
346	135279	59647
347	135713	59277
348	136155	58909
349	136568	58529
350	136981	58148
351	137419	57778
352	137841	57401
353	138279	57030
354	138732	56665
355	139173	56294
356	139596	55916
357	140012	55535
358	140422	55151
359	140834	54769
360	141248	54386
361	141692	54015
362	142098	53629
363	142509	53245
364	142954	52873
365	143396	52500
366	143804	52114
367	144194	51721
368	144593	51332
369	144983	50940
370	145391	50553
371	145799	50167
372	146157	49764
373	146498	49355
374	146853	48951
375	147200	48544
376	147578	48148
377	147917	47740
378	148259	47333
379	148630	46936
380	148984	46533
381	149342	46132
382	149701	45731
383	150081	45337
384	150436	44935
385	150810	44540
386	151154	44135
387	151497	43731
388	151878	43338
389	152263	42946
390	152633	42550
391	153024	42159
392	153418	41770
393	153806	41379
394	154207	40991
395	154581	40597
396	154973	40207
397	155362	39816
398	155772	39431
399	156150	39037
400	156532	38645
401	156937	38258
402	157322	37866
403	157715	37477
404	158162	37099
405	158582	36716
406	158953	36321
407	159311	35923
408	159683	35528
409	160050	35133
410	160406	34735
411	160765	34338
412	161123	33941
413	161512	33550
414	161874	33154
415	162221	32756
416	162589	32361
417	162944	31965
418	163305	31569
419	163660	31173
420	164051	30783
421	164413	30389
422	164769	29993
423	165135	29599
424	165527	29210
425	165909	28820
426	166279	28427
427	166644	28033
428	166993	27637
429	167404	27251
430	167804	26864
431	168234	26481
432	168622	26091
433	169018	25703
434	169453	25320
435	169882	24936
436	170295	24550
437	170774	24173
438	171254	23796
439	171717	23416
440	172162	23033
441	172572	22645
442	172984	22257
443	173409	21871
444	173892	21492
445	174342	21108
446	174764	20721
447	175233	20339
448	175703	19957
449	176111	19567
450	176526	19179
451	176934	18789
452	177335	18399
453	177740	18008
454	178233	17627
455	178664	17239
456	179087	16850
457	179453	16456
458	179834	16063
459	180222	15671
460	180617	15280
461	181000	14887
462	181389	14495
463	181773	14103
464	182194	13713
465	182571	13320
466	182932	12926
467	183323	12534
468	183722	12143
469	184142	11753
470	184557	11363
471	184996	10974
472	185458	10586
473	185922	10198
474	186144	9797
475	186596	9408
476	187005	9017
477	187432	8626
478	187846	8235
479	188274	7844
480	188764	7456
481	189239	7067
482	189692	6676
483	190094	6284
484	190524	5892
485	190956	5500
486	191425	5109
487	191891	4718
488	192328	4326
489	192775	3934
490	193226	3541
491	193640	3148
492	194067	2755
493	194464	2361
494	194863	1968
495	195276	1574
496	195707	1181
497	196135	787
498	196492	393
499	196916	0
